Date,Location,WindGustSpeed,Humidity3pm
21/2/09,Albury,28,19
22/2/09,Albury,31,23
23/2/09,Albury,70,10
24/2/09,Albury,46,14
25/2/09,Albury,43,16
26/2/09,Albury,26,19
27/2/09,Albury,24,25
28/2/09,Albury,44,14
1/3/09,Albury,30,27
2/3/09,Albury,35,25
3/3/09,Albury,52,35
4/3/09,Albury,57,26
5/3/09,Albury,50,33
6/3/09,Albury,30,23
7/3/09,Albury,37,22
8/3/09,Albury,24,20
9/3/09,Albury,24,28
10/3/09,Albury,50,25
11/3/09,Albury,44,23
12/3/09,Albury,37,90
13/3/09,Albury,31,68
14/3/09,Albury,69,74
15/3/09,Albury,39,41
16/3/09,Albury,39,34
17/3/09,Albury,35,34
18/3/09,Albury,52,19
19/3/09,Albury,24,15
20/3/09,Albury,22,13
21/3/09,Albury,28,17
22/3/09,Albury,37,30
23/3/09,Albury,37,25
24/3/09,Albury,48,20
25/3/09,Albury,30,78
26/3/09,Albury,33,26
27/3/09,Albury,43,30
28/3/09,Albury,24,26
29/3/09,Albury,22,18
30/3/09,Albury,22,16
31/3/09,Albury,26,25
1/4/09,Albury,22,22
2/4/09,Albury,28,30
3/4/09,Albury,98,49
4/4/09,Albury,43,33
5/4/09,Albury,31,37
6/4/09,Albury,35,20
7/4/09,Albury,28,27
8/4/09,Albury,17,30
9/4/09,Albury,22,27
10/4/09,Albury,48,42
11/4/09,Albury,46,47
12/4/09,Albury,20,52
13/4/09,Albury,19,35
14/4/09,Albury,30,39
15/4/09,Albury,63,27
16/4/09,Albury,31,30
17/4/09,Albury,26,39
18/4/09,Albury,24,37
19/4/09,Albury,31,33
20/4/09,Albury,28,29
21/4/09,Albury,17,39
22/4/09,Albury,17,33
23/4/09,Albury,33,34
24/4/09,Albury,39,86
25/4/09,Albury,70,89
26/4/09,Albury,63,62
27/4/09,Albury,26,79
28/4/09,Albury,35,48
29/4/09,Albury,19,46
30/4/09,Albury,19,38
1/5/09,Albury,19,44
2/5/09,Albury,22,49
3/5/09,Albury,15,51
4/5/09,Albury,19,44
5/5/09,Albury,15,47
6/5/09,Albury,20,49
7/5/09,Albury,20,49
8/5/09,Albury,15,36
9/5/09,Albury,17,45
10/5/09,Albury,17,40
11/5/09,Albury,15,53
12/5/09,Albury,26,49
13/5/09,Albury,28,61
14/5/09,Albury,35,59
15/5/09,Albury,54,63
16/5/09,Albury,52,54
17/5/09,Albury,20,61
18/5/09,Albury,13,34
19/5/09,Albury,19,51
20/5/09,Albury,13,57
21/5/09,Albury,20,48
22/5/09,Albury,24,43
23/5/09,Albury,30,37
24/5/09,Albury,20,43
25/5/09,Albury,31,50
26/5/09,Albury,19,74
27/5/09,Albury,20,58
28/5/09,Albury,13,48
29/5/09,Albury,33,44
30/5/09,Albury,26,44
31/5/09,Albury,44,46
1/6/09,Albury,13,75
2/6/09,Albury,13,75
3/6/09,Albury,13,97
4/6/09,Albury,13,58
5/6/09,Albury,20,57
6/6/09,Albury,11,91
7/6/09,Albury,30,80
8/6/09,Albury,33,79
9/6/09,Albury,43,95
10/6/09,Albury,37,56
11/6/09,Albury,13,72
12/6/09,Albury,15,72
13/6/09,Albury,28,60
14/6/09,Albury,24,49
15/6/09,Albury,13,63
16/6/09,Albury,17,49
17/6/09,Albury,13,52
18/6/09,Albury,11,63
19/6/09,Albury,13,56
20/6/09,Albury,28,56
21/6/09,Albury,46,71
22/6/09,Albury,19,78
23/6/09,Albury,35,70
24/6/09,Albury,41,65
25/6/09,Albury,24,75
26/6/09,Albury,46,73
27/6/09,Albury,22,81
28/6/09,Albury,22,76
29/6/09,Albury,26,69
30/6/09,Albury,72,73
1/7/09,Albury,52,68
2/7/09,Albury,54,74
3/7/09,Albury,61,62
4/7/09,Albury,39,76
5/7/09,Albury,31,56
6/7/09,Albury,19,65
7/7/09,Albury,19,46
8/7/09,Albury,17,54
9/7/09,Albury,13,54
10/7/09,Albury,13,62
11/7/09,Albury,24,63
12/7/09,Albury,33,53
13/7/09,Albury,41,73
14/7/09,Albury,30,75
15/7/09,Albury,22,57
16/7/09,Albury,24,57
17/7/09,Albury,17,52
18/7/09,Albury,20,64
19/7/09,Albury,24,65
20/7/09,Albury,39,53
21/7/09,Albury,43,46
22/7/09,Albury,44,81
23/7/09,Albury,26,58
24/7/09,Albury,22,58
25/7/09,Albury,20,61
26/7/09,Albury,13,74
27/7/09,Albury,20,91
28/7/09,Albury,31,71
29/7/09,Albury,24,81
30/7/09,Albury,22,76
31/7/09,Albury,35,61
1/8/09,Albury,30,70
2/8/09,Albury,30,65
3/8/09,Albury,37,49
4/8/09,Albury,17,53
5/8/09,Albury,19,76
6/8/09,Albury,35,58
7/8/09,Albury,57,47
8/8/09,Albury,24,50
9/8/09,Albury,15,48
10/8/09,Albury,20,60
11/8/09,Albury,43,59
12/8/09,Albury,24,74
13/8/09,Albury,22,87
14/8/09,Albury,22,61
15/8/09,Albury,24,57
16/8/09,Albury,39,70
17/8/09,Albury,37,57
18/8/09,Albury,15,58
19/8/09,Albury,17,61
20/8/09,Albury,22,51
21/8/09,Albury,59,85
22/8/09,Albury,26,57
23/8/09,Albury,26,67
24/8/09,Albury,63,52
25/8/09,Albury,85,53
26/8/09,Albury,43,56
27/8/09,Albury,30,49
28/8/09,Albury,24,51
29/8/09,Albury,59,80
30/8/09,Albury,56,57
31/8/09,Albury,39,72
1/9/09,Albury,24,58
2/9/09,Albury,24,45
3/9/09,Albury,43,54
4/9/09,Albury,35,58
5/9/09,Albury,30,54
6/9/09,Albury,37,47
7/9/09,Albury,41,53
8/9/09,Albury,46,59
9/9/09,Albury,35,67
11/9/09,Albury,31,46
12/9/09,Albury,39,39
13/9/09,Albury,35,25
14/9/09,Albury,24,29
15/9/09,Albury,20,44
16/9/09,Albury,17,39
17/9/09,Albury,24,73
18/9/09,Albury,46,54
19/9/09,Albury,22,46
20/9/09,Albury,33,50
21/9/09,Albury,43,50
22/9/09,Albury,50,55
23/9/09,Albury,56,54
24/9/09,Albury,41,55
25/9/09,Albury,44,57
26/9/09,Albury,56,72
27/9/09,Albury,61,72
28/9/09,Albury,43,56
29/9/09,Albury,19,49
30/9/09,Albury,35,36
1/10/09,Albury,28,61
2/10/09,Albury,30,55
3/10/09,Albury,31,75
4/10/09,Albury,20,75
5/10/09,Albury,35,47
6/10/09,Albury,37,77
7/10/09,Albury,35,42
8/10/09,Albury,39,43
9/10/09,Albury,33,39
10/10/09,Albury,22,36
11/10/09,Albury,48,50
12/10/09,Albury,59,64
13/10/09,Albury,50,71
14/10/09,Albury,65,60
15/10/09,Albury,50,84
16/10/09,Albury,39,56
17/10/09,Albury,28,46
18/10/09,Albury,24,50
19/10/09,Albury,19,38
20/10/09,Albury,30,31
21/10/09,Albury,20,44
22/10/09,Albury,24,38
23/10/09,Albury,35,26
24/10/09,Albury,30,28
25/10/09,Albury,63,34
26/10/09,Albury,35,38
27/10/09,Albury,26,43
28/10/09,Albury,19,41
29/10/09,Albury,31,50
30/10/09,Albury,22,46
31/10/09,Albury,20,38
1/11/09,Albury,33,35
2/11/09,Albury,20,47
3/11/09,Albury,46,39
4/11/09,Albury,39,27
5/11/09,Albury,44,28
6/11/09,Albury,28,32
7/11/09,Albury,22,27
8/11/09,Albury,28,29
9/11/09,Albury,37,29
10/11/09,Albury,33,23
11/11/09,Albury,26,18
12/11/09,Albury,43,18
13/11/09,Albury,31,22
14/11/09,Albury,46,25
15/11/09,Albury,35,16
16/11/09,Albury,54,20
17/11/09,Albury,30,18
18/11/09,Albury,24,18
19/11/09,Albury,37,11
20/11/09,Albury,78,21
21/11/09,Albury,37,91
22/11/09,Albury,61,67
23/11/09,Albury,24,37
24/11/09,Albury,30,40
25/11/09,Albury,24,36
26/11/09,Albury,78,70
27/11/09,Albury,24,56
28/11/09,Albury,52,27
29/11/09,Albury,46,54
30/11/09,Albury,50,35
1/12/09,Albury,37,31
2/12/09,Albury,39,29
3/12/09,Albury,50,16
4/12/09,Albury,44,7
5/12/09,Albury,37,22
6/12/09,Albury,28,23
7/12/09,Albury,39,19
8/12/09,Albury,54,45
9/12/09,Albury,30,24
10/12/09,Albury,52,26
11/12/09,Albury,41,30
12/12/09,Albury,39,31
13/12/09,Albury,43,27
14/12/09,Albury,28,25
15/12/09,Albury,28,22
16/12/09,Albury,39,8
17/12/09,Albury,107,28
18/12/09,Albury,41,19
19/12/09,Albury,37,23
20/12/09,Albury,31,21
21/12/09,Albury,39,10
22/12/09,Albury,39,10
23/12/09,Albury,37,12
24/12/09,Albury,63,29
25/12/09,Albury,31,49
26/12/09,Albury,33,34
27/12/09,Albury,24,74
28/12/09,Albury,33,23
29/12/09,Albury,31,24
30/12/09,Albury,33,15
31/12/09,Albury,44,35
1/1/10,Albury,39,40
2/1/10,Albury,56,48
3/1/10,Albury,30,32
4/1/10,Albury,30,24
5/1/10,Albury,46,13
6/1/10,Albury,41,7
7/1/10,Albury,28,17
8/1/10,Albury,30,19
9/1/10,Albury,41,19
10/1/10,Albury,41,8
11/1/10,Albury,30,15
12/1/10,Albury,74,12
13/1/10,Albury,44,79
14/1/10,Albury,35,28
15/1/10,Albury,33,20
16/1/10,Albury,46,11
17/1/10,Albury,57,24
18/1/10,Albury,52,30
19/1/10,Albury,50,27
20/1/10,Albury,48,15
21/1/10,Albury,56,18
22/1/10,Albury,69,9
23/1/10,Albury,43,9
24/1/10,Albury,28,22
25/1/10,Albury,35,8
26/1/10,Albury,39,10
27/1/10,Albury,43,14
28/1/10,Albury,35,8
29/1/10,Albury,35,14
30/1/10,Albury,46,22
31/1/10,Albury,44,16
1/2/10,Albury,67,19
2/2/10,Albury,39,24
3/2/10,Albury,57,23
4/2/10,Albury,44,44
5/2/10,Albury,33,70
6/2/10,Albury,43,38
7/2/10,Albury,37,32
8/2/10,Albury,37,32
10/2/10,Albury,46,28
12/2/10,Albury,24,67
13/2/10,Albury,24,59
14/2/10,Albury,41,43
15/2/10,Albury,52,44
16/2/10,Albury,31,34
18/2/10,Albury,31,24
19/2/10,Albury,26,34
20/2/10,Albury,57,35
21/2/10,Albury,59,59
22/2/10,Albury,46,70
23/2/10,Albury,31,34
24/2/10,Albury,24,35
25/2/10,Albury,22,33
27/2/10,Albury,26,62
28/2/10,Albury,39,45
2/3/10,Albury,28,23
3/3/10,Albury,19,26
4/3/10,Albury,33,35
5/3/10,Albury,37,93
6/3/10,Albury,39,48
7/3/10,Albury,39,82
8/3/10,Albury,56,38
9/3/10,Albury,46,67
11/3/10,Albury,28,40
12/3/10,Albury,20,40
13/3/10,Albury,24,44
14/3/10,Albury,24,37
15/3/10,Albury,22,38
16/3/10,Albury,46,28
17/3/10,Albury,19,35
18/3/10,Albury,48,36
19/3/10,Albury,33,31
20/3/10,Albury,35,36
21/3/10,Albury,44,46
22/3/10,Albury,30,36
23/3/10,Albury,31,23
24/3/10,Albury,22,31
25/3/10,Albury,24,32
26/3/10,Albury,24,32
27/3/10,Albury,20,32
28/3/10,Albury,39,41
29/3/10,Albury,26,61
30/3/10,Albury,28,44
31/3/10,Albury,28,42
1/4/10,Albury,26,44
2/4/10,Albury,20,42
3/4/10,Albury,26,41
4/4/10,Albury,20,37
5/4/10,Albury,17,38
6/4/10,Albury,33,40
7/4/10,Albury,30,69
8/4/10,Albury,46,53
9/4/10,Albury,22,55
10/4/10,Albury,22,79
11/4/10,Albury,57,43
12/4/10,Albury,41,54
13/4/10,Albury,19,49
14/4/10,Albury,19,49
15/4/10,Albury,17,40
16/4/10,Albury,19,45
17/4/10,Albury,17,38
18/4/10,Albury,17,47
19/4/10,Albury,17,46
20/4/10,Albury,26,49
21/4/10,Albury,20,44
22/4/10,Albury,17,40
23/4/10,Albury,35,34
24/4/10,Albury,46,86
25/4/10,Albury,37,40
26/4/10,Albury,15,49
27/4/10,Albury,17,58
28/4/10,Albury,30,50
29/4/10,Albury,28,69
30/4/10,Albury,13,53
1/5/10,Albury,22,46
2/5/10,Albury,15,47
3/5/10,Albury,30,39
4/5/10,Albury,61,29
5/5/10,Albury,39,51
6/5/10,Albury,35,68
7/5/10,Albury,20,56
8/5/10,Albury,13,59
9/5/10,Albury,17,54
10/5/10,Albury,17,47
11/5/10,Albury,43,47
12/5/10,Albury,28,48
13/5/10,Albury,30,55
14/5/10,Albury,15,46
15/5/10,Albury,13,44
16/5/10,Albury,13,51
17/5/10,Albury,48,50
18/5/10,Albury,17,38
19/5/10,Albury,28,39
20/5/10,Albury,13,44
21/5/10,Albury,15,42
22/5/10,Albury,22,45
23/5/10,Albury,24,35
24/5/10,Albury,20,73
25/5/10,Albury,26,99
26/5/10,Albury,30,50
27/5/10,Albury,11,59
28/5/10,Albury,22,63
29/5/10,Albury,26,89
30/5/10,Albury,46,47
31/5/10,Albury,48,48
1/6/10,Albury,13,58
2/6/10,Albury,13,60
3/6/10,Albury,17,50
4/6/10,Albury,19,53
5/6/10,Albury,17,84
6/6/10,Albury,13,61
7/6/10,Albury,17,50
8/6/10,Albury,19,49
9/6/10,Albury,37,92
10/6/10,Albury,44,57
11/6/10,Albury,28,66
12/6/10,Albury,22,51
13/6/10,Albury,11,47
14/6/10,Albury,17,50
15/6/10,Albury,11,65
16/6/10,Albury,52,73
17/6/10,Albury,94,65
18/6/10,Albury,24,70
19/6/10,Albury,35,66
20/6/10,Albury,39,86
21/6/10,Albury,17,83
22/6/10,Albury,15,61
23/6/10,Albury,20,52
24/6/10,Albury,24,56
25/6/10,Albury,31,95
26/6/10,Albury,35,71
27/6/10,Albury,22,54
28/6/10,Albury,52,70
29/6/10,Albury,20,57
30/6/10,Albury,24,78
1/7/10,Albury,13,67
2/7/10,Albury,19,70
3/7/10,Albury,11,76
4/7/10,Albury,13,77
5/7/10,Albury,22,70
6/7/10,Albury,35,56
7/7/10,Albury,50,64
8/7/10,Albury,13,50
9/7/10,Albury,15,57
10/7/10,Albury,46,61
11/7/10,Albury,28,62
12/7/10,Albury,13,62
13/7/10,Albury,59,93
14/7/10,Albury,57,91
15/7/10,Albury,43,63
16/7/10,Albury,48,56
17/7/10,Albury,15,69
18/7/10,Albury,24,59
19/7/10,Albury,20,61
20/7/10,Albury,19,62
21/7/10,Albury,17,58
22/7/10,Albury,19,51
23/7/10,Albury,17,61
24/7/10,Albury,22,60
25/7/10,Albury,20,58
26/7/10,Albury,19,52
27/7/10,Albury,15,52
28/7/10,Albury,15,67
29/7/10,Albury,20,80
30/7/10,Albury,30,86
31/7/10,Albury,30,85
1/8/10,Albury,41,93
2/8/10,Albury,39,56
3/8/10,Albury,28,51
5/8/10,Albury,28,65
6/8/10,Albury,22,59
7/8/10,Albury,15,54
8/8/10,Albury,15,58
9/8/10,Albury,31,47
10/8/10,Albury,41,77
11/8/10,Albury,33,85
12/8/10,Albury,50,45
13/8/10,Albury,20,56
14/8/10,Albury,41,67
15/8/10,Albury,46,94
16/8/10,Albury,56,65
17/8/10,Albury,15,55
18/8/10,Albury,31,86
19/8/10,Albury,57,56
20/8/10,Albury,46,58
21/8/10,Albury,39,68
22/8/10,Albury,26,49
23/8/10,Albury,17,61
24/8/10,Albury,67,55
25/8/10,Albury,65,65
26/8/10,Albury,50,70
27/8/10,Albury,43,55
28/8/10,Albury,22,58
29/8/10,Albury,15,57
30/8/10,Albury,20,51
31/8/10,Albury,20,61
1/9/10,Albury,17,71
2/9/10,Albury,33,68
3/9/10,Albury,26,55
4/9/10,Albury,70,87
5/9/10,Albury,72,67
6/9/10,Albury,50,64
7/9/10,Albury,52,49
8/9/10,Albury,24,51
9/9/10,Albury,39,90
10/9/10,Albury,50,86
11/9/10,Albury,35,54
12/9/10,Albury,22,51
13/9/10,Albury,31,47
14/9/10,Albury,46,50
15/9/10,Albury,43,58
16/9/10,Albury,54,49
17/9/10,Albury,39,54
18/9/10,Albury,31,60
19/9/10,Albury,30,55
20/9/10,Albury,24,54
21/9/10,Albury,24,64
22/9/10,Albury,26,48
23/9/10,Albury,28,52
24/9/10,Albury,33,61
25/9/10,Albury,28,52
26/9/10,Albury,24,43
27/9/10,Albury,43,50
28/9/10,Albury,39,49
29/9/10,Albury,39,43
30/9/10,Albury,28,45
1/10/10,Albury,20,42
2/10/10,Albury,37,47
3/10/10,Albury,35,45
4/10/10,Albury,35,52
5/10/10,Albury,24,52
6/10/10,Albury,69,52
7/10/10,Albury,46,42
8/10/10,Albury,30,49
9/10/10,Albury,17,49
10/10/10,Albury,39,42
11/10/10,Albury,37,45
12/10/10,Albury,31,66
13/10/10,Albury,30,94
14/10/10,Albury,24,69
15/10/10,Albury,63,90
16/10/10,Albury,52,61
17/10/10,Albury,35,56
18/10/10,Albury,39,50
19/10/10,Albury,22,49
20/10/10,Albury,20,51
21/10/10,Albury,20,47
22/10/10,Albury,30,49
23/10/10,Albury,28,77
24/10/10,Albury,26,51
25/10/10,Albury,22,47
26/10/10,Albury,33,35
27/10/10,Albury,35,46
28/10/10,Albury,26,48
29/10/10,Albury,39,44
30/10/10,Albury,33,96
31/10/10,Albury,52,67
1/11/10,Albury,35,52
2/11/10,Albury,44,51
3/11/10,Albury,35,49
4/11/10,Albury,33,48
5/11/10,Albury,44,37
6/11/10,Albury,31,42
7/11/10,Albury,54,46
8/11/10,Albury,31,64
9/11/10,Albury,46,47
10/11/10,Albury,46,45
11/11/10,Albury,28,47
12/11/10,Albury,41,41
13/11/10,Albury,61,78
14/11/10,Albury,26,73
15/11/10,Albury,37,32
16/11/10,Albury,33,42
17/11/10,Albury,43,34
18/11/10,Albury,37,36
19/11/10,Albury,26,39
20/11/10,Albury,26,39
21/11/10,Albury,22,29
22/11/10,Albury,26,36
23/11/10,Albury,31,34
24/11/10,Albury,35,31
25/11/10,Albury,44,57
26/11/10,Albury,39,68
27/11/10,Albury,44,66
28/11/10,Albury,44,89
29/11/10,Albury,43,51
30/11/10,Albury,35,81
1/12/10,Albury,24,73
2/12/10,Albury,50,90
3/12/10,Albury,41,75
4/12/10,Albury,44,48
5/12/10,Albury,28,31
6/12/10,Albury,43,38
7/12/10,Albury,43,44
8/12/10,Albury,61,55
9/12/10,Albury,39,50
10/12/10,Albury,46,38
11/12/10,Albury,43,35
12/12/10,Albury,46,33
13/12/10,Albury,33,32
14/12/10,Albury,24,36
15/12/10,Albury,35,28
16/12/10,Albury,43,21
17/12/10,Albury,46,31
18/12/10,Albury,76,52
19/12/10,Albury,61,55
20/12/10,Albury,52,50
21/12/10,Albury,41,48
22/12/10,Albury,28,37
23/12/10,Albury,41,24
24/12/10,Albury,31,33
25/12/10,Albury,35,72
26/12/10,Albury,43,35
27/12/10,Albury,57,38
28/12/10,Albury,37,35
29/12/10,Albury,30,28
30/12/10,Albury,41,25
31/12/10,Albury,46,22
1/1/11,Albury,26,29
2/1/11,Albury,35,27
3/1/11,Albury,35,28
4/1/11,Albury,24,38
5/1/11,Albury,31,31
6/1/11,Albury,30,34
7/1/11,Albury,26,42
8/1/11,Albury,31,40
9/1/11,Albury,61,41
10/1/11,Albury,37,40
11/1/11,Albury,37,87
12/1/11,Albury,44,84
13/1/11,Albury,41,59
14/1/11,Albury,52,90
15/1/11,Albury,24,34
16/1/11,Albury,31,46
17/1/11,Albury,48,36
18/1/11,Albury,28,43
19/1/11,Albury,28,36
20/1/11,Albury,22,38
21/1/11,Albury,37,40
22/1/11,Albury,43,37
23/1/11,Albury,39,41
24/1/11,Albury,35,29
25/1/11,Albury,28,30
26/1/11,Albury,39,40
27/1/11,Albury,39,30
28/1/11,Albury,28,20
29/1/11,Albury,35,32
30/1/11,Albury,28,31
31/1/11,Albury,24,25
1/2/11,Albury,61,16
2/2/11,Albury,41,49
3/2/11,Albury,31,50
4/2/11,Albury,81,99
5/2/11,Albury,28,95
6/2/11,Albury,43,45
7/2/11,Albury,26,40
8/2/11,Albury,22,50
9/2/11,Albury,20,43
10/2/11,Albury,28,55
11/2/11,Albury,54,94
12/2/11,Albury,28,57
13/2/11,Albury,24,50
14/2/11,Albury,20,45
15/2/11,Albury,24,40
16/2/11,Albury,31,85
17/2/11,Albury,30,55
18/2/11,Albury,52,51
19/2/11,Albury,59,67
20/2/11,Albury,43,50
21/2/11,Albury,41,40
22/2/11,Albury,69,43
23/2/11,Albury,28,43
24/2/11,Albury,28,43
25/2/11,Albury,24,36
26/2/11,Albury,33,36
27/2/11,Albury,20,87
28/2/11,Albury,20,55
1/3/11,Albury,44,40
2/3/11,Albury,24,41
3/3/11,Albury,37,45
4/3/11,Albury,33,42
5/3/11,Albury,30,30
6/3/11,Albury,22,38
7/3/11,Albury,31,42
8/3/11,Albury,30,34
9/3/11,Albury,30,57
10/3/11,Albury,22,95
11/3/11,Albury,30,54
12/3/11,Albury,37,56
13/3/11,Albury,54,61
14/3/11,Albury,19,61
15/3/11,Albury,24,56
16/3/11,Albury,30,37
17/3/11,Albury,22,51
18/3/11,Albury,20,47
19/3/11,Albury,24,43
20/3/11,Albury,57,46
21/3/11,Albury,30,59
22/3/11,Albury,37,58
23/3/11,Albury,37,63
24/3/11,Albury,44,64
25/3/11,Albury,43,49
26/3/11,Albury,26,43
27/3/11,Albury,19,47
28/3/11,Albury,20,45
29/3/11,Albury,26,52
30/3/11,Albury,33,55
31/3/11,Albury,24,47
1/5/11,Albury,15,66
2/5/11,Albury,24,57
3/5/11,Albury,28,46
4/5/11,Albury,28,47
5/5/11,Albury,24,42
6/5/11,Albury,13,53
7/5/11,Albury,17,57
8/5/11,Albury,24,39
9/5/11,Albury,44,43
10/5/11,Albury,26,43
11/5/11,Albury,54,55
12/5/11,Albury,24,89
13/5/11,Albury,35,74
14/5/11,Albury,35,46
15/5/11,Albury,15,57
16/5/11,Albury,20,74
17/5/11,Albury,15,54
18/5/11,Albury,20,48
19/5/11,Albury,13,55
20/5/11,Albury,15,48
21/5/11,Albury,19,50
22/5/11,Albury,46,53
23/5/11,Albury,44,85
24/5/11,Albury,26,65
25/5/11,Albury,30,47
26/5/11,Albury,26,52
27/5/11,Albury,17,65
28/5/11,Albury,15,72
29/5/11,Albury,11,63
30/5/11,Albury,26,51
31/5/11,Albury,22,48
1/6/11,Albury,17,53
2/6/11,Albury,15,58
3/6/11,Albury,20,57
4/6/11,Albury,24,72
5/6/11,Albury,28,75
6/6/11,Albury,26,50
7/6/11,Albury,52,79
8/6/11,Albury,37,63
9/6/11,Albury,33,51
10/6/11,Albury,20,46
11/6/11,Albury,26,50
12/6/11,Albury,28,49
13/6/11,Albury,20,41
14/6/11,Albury,35,45
15/6/11,Albury,15,48
16/6/11,Albury,46,52
17/6/11,Albury,35,68
18/6/11,Albury,28,85
19/6/11,Albury,20,92
20/6/11,Albury,46,67
21/6/11,Albury,65,58
22/6/11,Albury,43,69
23/6/11,Albury,43,70
24/6/11,Albury,15,87
25/6/11,Albury,13,65
26/6/11,Albury,24,55
27/6/11,Albury,13,47
28/6/11,Albury,15,52
29/6/11,Albury,17,50
30/6/11,Albury,20,53
1/7/11,Albury,13,59
2/7/11,Albury,20,63
3/7/11,Albury,48,80
4/7/11,Albury,69,54
5/7/11,Albury,59,73
6/7/11,Albury,61,87
7/7/11,Albury,52,54
8/7/11,Albury,28,64
9/7/11,Albury,28,87
10/7/11,Albury,46,68
11/7/11,Albury,30,64
12/7/11,Albury,28,64
13/7/11,Albury,30,88
14/7/11,Albury,15,65
15/7/11,Albury,17,46
16/7/11,Albury,20,56
17/7/11,Albury,31,95
18/7/11,Albury,33,85
19/7/11,Albury,13,66
20/7/11,Albury,33,54
21/7/11,Albury,26,46
22/7/11,Albury,33,45
23/7/11,Albury,19,45
24/7/11,Albury,19,81
25/7/11,Albury,26,80
26/7/11,Albury,28,63
27/7/11,Albury,15,49
28/7/11,Albury,41,59
29/7/11,Albury,17,52
30/7/11,Albury,19,54
31/7/11,Albury,20,76
1/8/11,Albury,20,55
2/8/11,Albury,26,44
3/8/11,Albury,28,43
4/8/11,Albury,35,37
5/8/11,Albury,44,42
6/8/11,Albury,30,92
7/8/11,Albury,28,84
8/8/11,Albury,24,76
9/8/11,Albury,24,76
10/8/11,Albury,19,83
11/8/11,Albury,37,50
12/8/11,Albury,24,43
13/8/11,Albury,13,65
14/8/11,Albury,22,50
15/8/11,Albury,15,73
16/8/11,Albury,24,45
17/8/11,Albury,44,91
18/8/11,Albury,35,91
19/8/11,Albury,28,49
20/8/11,Albury,22,32
21/8/11,Albury,20,46
22/8/11,Albury,22,47
23/8/11,Albury,17,56
24/8/11,Albury,17,56
25/8/11,Albury,31,48
26/8/11,Albury,24,36
27/8/11,Albury,31,42
28/8/11,Albury,24,44
29/8/11,Albury,26,59
30/8/11,Albury,20,47
31/8/11,Albury,26,56
1/9/11,Albury,15,42
2/9/11,Albury,17,31
3/9/11,Albury,30,44
4/9/11,Albury,31,68
5/9/11,Albury,31,52
6/9/11,Albury,56,71
7/9/11,Albury,30,44
8/9/11,Albury,22,38
9/9/11,Albury,57,47
14/9/11,Albury,33,42
15/9/11,Albury,31,33
16/9/11,Albury,24,50
17/9/11,Albury,26,52
18/9/11,Albury,19,36
19/9/11,Albury,57,36
20/9/11,Albury,61,70
21/9/11,Albury,30,53
22/9/11,Albury,30,36
23/9/11,Albury,35,39
24/9/11,Albury,37,39
25/9/11,Albury,43,36
26/9/11,Albury,20,37
27/9/11,Albury,35,44
28/9/11,Albury,83,93
29/9/11,Albury,59,89
30/9/11,Albury,48,59
1/10/11,Albury,26,80
2/10/11,Albury,35,47
3/10/11,Albury,22,40
4/10/11,Albury,24,47
5/10/11,Albury,19,59
